date,Is_Friday,Pale_Ale,Lager,IPA,White_Beer,Dark_Beer,Fruit_Beer,precipitation_sum (mm),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
2024-04-01,0,6,5,5,4,6,0,4.5,77,13.2
2024-04-02,0,6,4,5,3,6,1,0.0,64,12.1
2024-04-03,0,5,4,3,2,4,1,13.6,88,12.5
2024-04-04,0,2,2,2,1,1,2,7.6,80,14.3
2024-04-05,1,3,5,3,2,3,2,3.9,75,10.7
2024-04-06,0,11,8,6,3,7,1,0.0,81,11.8
2024-04-08,0,2,2,1,1,1,2,0.0,87,16.9
2024-04-09,0,1,1,1,1,1,0,47.4,78,14.8
2024-04-10,0,3,3,2,1,3,3,0.0,58,9.7
2024-04-11,0,6,4,3,2,2,2,0.0,72,11.7
2024-04-12,1,7,5,6,6,3,3,1.4,79,13.7
2024-04-13,0,8,8,6,4,5,2,0.0,77,14.9
2024-04-15,0,10,6,6,6,4,2,0.0,75,17.1
2024-04-16,0,6,5,5,3,2,1,0.0,72,17.6
2024-04-17,0,6,6,4,4,4,2,1.7,77,18.2
2024-04-18,0,2,1,1,1,1,1,3.0,74,16.3
2024-04-19,1,9,9,6,4,4,2,0.4,54,16.3
2024-04-20,0,8,5,5,3,4,2,0.3,58,16.9
2024-04-22,0,6,6,3,5,3,0,13.4,83,16.2
2024-04-23,0,7,8,6,5,4,3,0.2,81,16.3
2024-04-24,0,2,2,1,1,1,2,12.0,84,15.1
2024-04-25,0,7,6,3,4,3,4,0.6,75,18.4
2024-04-26,1,10,7,4,5,6,1,0.0,79,18.6
2024-04-27,0,6,4,3,3,2,1,0.8,84,18.8
2024-04-29,0,2,3,2,2,2,3,0.0,79,19.9
2024-04-30,0,6,3,3,2,3,3,0.8,81,20.6
2024-05-01,0,1,1,1,1,1,0,37.3,86,17.0
2024-05-02,0,6,7,4,5,3,0,6.8,69,14.6
2024-05-03,1,9,12,6,7,7,4,0.0,74,15.6
2024-05-04,0,8,7,4,3,3,2,0.0,71,18.7
2024-05-06,0,5,4,4,3,2,0,0.0,72,19.6
2024-05-07,0,5,5,4,3,2,2,15.6,85,19.9
2024-05-08,0,5,4,3,4,3,1,19.9,79,17.7
2024-05-09,0,3,3,2,2,2,3,1.7,71,13.1
2024-05-10,1,10,10,8,7,5,7,0.0,61,15.7
2024-05-11,0,4,6,4,3,2,4,0.0,70,17.9
2024-05-13,0,1,1,1,1,1,0,46.3,87,19.4
2024-05-14,0,7,5,4,5,4,3,0.1,73,16.4
2024-05-15,0,4,2,2,1,1,0,1.9,80,18.1
2024-05-16,0,2,2,2,1,1,1,5.1,70,18.3
2024-05-17,1,10,7,5,3,4,1,0.0,61,18.6
2024-05-18,0,7,7,4,4,4,9,0.0,68,19.9
2024-05-20,0,3,2,2,1,1,1,31.5,84,18.6
2024-05-21,0,3,4,3,2,2,2,9.2,77,21.2
2024-05-22,0,3,4,2,2,2,4,0.0,67,19.3
2024-05-23,0,4,3,3,2,4,2,0.0,80,20.1
2024-05-24,1,10,9,8,6,5,10,0.0,75,21.9
2024-05-25,0,6,5,4,3,3,2,0.0,62,19.4
2024-05-27,0,7,7,4,3,4,2,0.7,83,21.4
2024-05-28,0,2,2,2,1,1,1,20.1,88,23.1
2024-05-29,0,7,5,4,3,3,6,13.0,70,21.0
2024-05-30,0,6,7,5,5,4,4,2.4,76,21.3
2024-05-31,1,4,3,3,3,2,2,34.7,85,18.3
2024-06-01,0,6,4,3,3,3,2,1.3,79,20.0
